,Country,Magnitude,Time,People
0,Japan,Magnitude 4.5M,15-06-2021 12:41 IST, About 40000 people within 100km.
1,Papua,Magnitude 4.7M,15-06-2021 08:14 IST, About 9000 people within 100km.
2,Peru,Magnitude 4.6M,15-06-2021 06:17 IST, 270000 people within 100km.
3,Russian,Magnitude 4.5M,15-06-2021 04:45 IST, About 6000 people within 100km.
4,Russian,Magnitude 4.6M,15-06-2021 04:26 IST, About 300 people within 100km.
5,Ecuador,Magnitude 4.9M,15-06-2021 02:35 IST, 1180000 people within 100km.
6,Mariana,Magnitude 4.5M,15-06-2021 02:29 IST, No people within 100km.
7,Colombia,Magnitude 4.5M,15-06-2021 01:35 IST, 2030000 people within 100km.
8,Indonesia,Magnitude 4.8M,14-06-2021 23:46 IST, 110000 people within 100km.
9,South,Magnitude 4.6M,14-06-2021 22:34 IST, No people within 100km.
10,Colombia,Magnitude 4.5M,14-06-2021 21:55 IST, 2050000 people within 100km.
11,Philippines,Magnitude 5.3M,14-06-2021 20:19 IST, 8240000 people within 100km.
12,Philippines,Magnitude 5.7M,14-06-2021 20:08 IST, 8310000 people within 100km.
13,Southern,Magnitude 5M,14-06-2021 19:48 IST, No people within 100km.
14,United,Magnitude 4.8M,14-06-2021 16:11 IST, No people within 100km.
15,Dominican,Magnitude 5M,14-06-2021 15:45 IST, 910000 people within 100km.
16,Yemen,Magnitude 5.5M,14-06-2021 08:14 IST, No people within 100km.
17,Indonesia,Magnitude 4.5M,14-06-2021 06:36 IST, 430000 people within 100km.
18,Nicaragua,Magnitude 4.7M,13-06-2021 20:43 IST, 280000 people within 100km.
19,Somalia,Magnitude 4.5M,13-06-2021 20:02 IST, No people within 100km.
20,British,Magnitude 5.1M,13-06-2021 14:57 IST, No people within 100km.
21,Southern,Magnitude 4.9M,13-06-2021 13:01 IST, 1070000 people within 100km.
22,South,Magnitude 5M,13-06-2021 12:54 IST, No people within 100km.
23,Solomon,Magnitude 5M,13-06-2021 08:53 IST, 210000 people within 100km.
24,Guatemala,Magnitude 5.4M,13-06-2021 08:28 IST, 6280000 people within 100km.
25,Kermadec,Magnitude 4.6M,13-06-2021 08:08 IST, No people within 100km.
26,Kermadec,Magnitude 4.6M,13-06-2021 07:47 IST, No people within 100km.
27,Indonesia,Magnitude 5.2M,13-06-2021 06:44 IST, 1930000 people within 100km.
28,Philippines,Magnitude 4.6M,13-06-2021 06:21 IST, 640000 people within 100km.
29,Vanuatu,Magnitude 4.8M,13-06-2021 02:45 IST, About 12000 people within 100km.
30,Timor-Leste,Magnitude 4.6M,13-06-2021 01:05 IST, 990000 people within 100km.
31,Vanuatu,Magnitude 4.5M,13-06-2021 00:30 IST, About 61000 people within 100km.
32,Mexico,Magnitude 4.5M,12-06-2021 21:27 IST, No people within 100km.
33,Indonesia,Magnitude 5M,12-06-2021 16:50 IST, About 41000 people within 100km.
34,China,Magnitude 4.9M,12-06-2021 15:30 IST, 2490000 people within 100km.
35,Indonesia,Magnitude 4.6M,12-06-2021 14:26 IST, About 900 people within 100km.
36,Venezuela,Magnitude 5M,12-06-2021 11:48 IST, 1150000 people within 100km.
37,Chile,Magnitude 4.6M,12-06-2021 11:16 IST, About 11000 people within 100km.
38,United,Magnitude 4.32M,12-06-2021 10:09 IST, 1360000 people within 100km.
39,Chile,Magnitude 5.1M,12-06-2021 09:06 IST, 750000 people within 100km.
40,China,Magnitude 4.9M,12-06-2021 03:28 IST, 4100000 people within 100km.
41,Philippines,Magnitude 4.6M,12-06-2021 03:07 IST, 600000 people within 100km.
42,Indonesia,Magnitude 4.7M,12-06-2021 03:07 IST, 3160000 people within 100km.
43,Indonesia,Magnitude 4.9M,12-06-2021 00:43 IST, 570000 people within 100km.
44,Argentina,Magnitude 4.6M,11-06-2021 22:34 IST, 300000 people within 100km.
45,Islamic,Magnitude 4.6M,11-06-2021 20:01 IST, 900000 people within 100km.
46,China,Magnitude 5.2M,11-06-2021 13:03 IST, 3130000 people within 100km.
47,Papua,Magnitude 5.1M,11-06-2021 12:30 IST, 750000 people within 100km.
48,China,Magnitude 4.9M,11-06-2021 10:42 IST, 2340000 people within 100km.
49,Indonesia,Magnitude 5.5M,11-06-2021 07:53 IST, 440000 people within 100km.
